"PolyID","imd_rank","imd_national_decile","nation"
"E01000570",9218,3,"England"
"E01000571",12761,4,"England"
"E01000572",17443,6,"England"
"E01000573",15601,5,"England"
"E01000574",16344,5,"England"
"E01000575",13300,4,"England"
"E01000576",13923,5,"England"
"E01000577",6283,2,"England"
"E01000578",7504,3,"England"
"E01000579",12086,4,"England"
"E01000580",16391,5,"England"
"E01000581",14465,5,"England"
"E01000582",19182,6,"England"
"E01000583",13833,5,"England"
"E01000584",17498,6,"England"
"E01000585",16108,5,"England"
"E01000586",9444,3,"England"
"E01000587",16483,5,"England"
"E01000589",14494,5,"England"
"E01000590",17794,6,"England"
"E01000591",11532,4,"England"
"E01000592",13304,4,"England"
"E01000593",12182,4,"England"
"E01000594",12490,4,"England"
"E01000595",2078,1,"England"
"E01000596",2189,1,"England"
"E01000599",3403,2,"England"
"E01000601",238,1,"England"
"E01000602",4092,2,"England"
"E01000603",1646,1,"England"
"E01000604",2811,1,"England"
"E01000605",2393,1,"England"
"E01000606",9557,3,"England"
"E01000607",11897,4,"England"
"E01000608",8425,3,"England"
"E01000609",11129,4,"England"
"E01000610",8474,3,"England"
"E01000611",15230,5,"England"
"E01000612",8714,3,"England"
"E01000613",9403,3,"England"
"E01000615",17736,6,"England"
"E01000616",9020,3,"England"
"E01000617",11876,4,"England"
"E01000618",9686,3,"England"
"E01000619",9940,3,"England"
"E01000620",12413,4,"England"
"E01000621",7976,3,"England"
"E01000622",5702,2,"England"
"E01000623",15978,5,"England"
"E01000624",14413,5,"England"
"E01000625",8686,3,"England"
"E01000626",3303,1,"England"
"E01000627",3167,1,"England"
"E01000628",2442,1,"England"
"E01000629",13458,4,"England"
"E01000630",6844,3,"England"
"E01000631",14234,5,"England"
"E01000632",9571,3,"England"
"E01000633",6980,3,"England"
"E01000634",7262,3,"England"
"E01000636",10332,4,"England"
"E01000637",6965,3,"England"
"E01000638",3803,2,"England"
"E01000639",10848,4,"England"
"E01000640",3064,1,"England"
"E01000641",3555,2,"England"
"E01000642",5942,2,"England"
"E01000643",2008,1,"England"
"E01000644",7658,3,"England"
"E01000645",33283,10,"England"
"E01000646",29255,9,"England"
"E01000647",27754,9,"England"
"E01000648",29761,9,"England"
"E01000649",30261,9,"England"
"E01000650",29177,9,"England"
"E01000651",26418,8,"England"
"E01000652",33018,10,"England"
"E01000653",30763,10,"England"
"E01000654",24704,8,"England"
"E01000655",24185,8,"England"
"E01000656",28870,9,"England"
"E01000657",18371,6,"England"
"E01000658",28456,9,"England"
"E01000659",27265,9,"England"
"E01000661",7794,3,"England"
"E01000662",20650,7,"England"
"E01000663",20236,6,"England"
"E01000664",20638,7,"England"
"E01000665",24184,8,"England"
"E01000666",30382,10,"England"
"E01000667",32196,10,"England"
"E01000668",23153,7,"England"
"E01000669",24527,8,"England"
"E01000670",31576,10,"England"
"E01000671",23611,7,"England"
"E01000672",28430,9,"England"
"E01000673",26689,8,"England"
"E01000674",20102,6,"England"
"E01000676",11702,4,"England"
"E01000677",22549,7,"England"
"E01000678",28623,9,"England"
"E01000679",26173,8,"England"
"E01000680",27711,9,"England"
"E01000681",33467,10,"England"
"E01000682",33121,10,"England"
"E01000683",26188,8,"England"
"E01000684",33676,10,"England"
"E01000685",26186,8,"England"
"E01000686",28549,9,"England"
"E01000687",29766,9,"England"
"E01000688",33108,10,"England"
"E01000689",15585,5,"England"
"E01000690",31428,10,"England"
"E01000691",22041,7,"England"
"E01000692",25469,8,"England"
"E01000693",28085,9,"England"
"E01000694",32410,10,"England"
"E01000695",31581,10,"England"
"E01000696",31159,10,"England"
"E01000697",30171,9,"England"
"E01000698",32302,10,"England"
"E01000699",14491,5,"England"
"E01000700",20949,7,"England"
